Title,Bedrooms,Bathrooms,Floor_area,City,location_area,Price_in_Cr,Price_per_sqft,floor_level,Is_in_Dhaka
Buy This 1375 Sq Ft Apartment In Mirpur-6,3.0,3.0,1375.0,dhaka,mirpur,1.21,8800.0,medium,yes
Worthy 900 SQ FT residence is for sale at North Pirerbag,3.0,2.0,900.0,dhaka,mirpur,0.5,5555.56,low,yes
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3.0,3.0,1008.0,dhaka,mirpur,0.48,4761.9,medium,yes
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3.0,2.0,1055.0,dhaka,dakshin khan,0.53,5023.7,low,yes
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3.0,3.0,1800.0,dhaka,bashundhara,1.6,8888.89,medium,yes
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3.0,3.0,1250.0,dhaka,mirpur,0.52,4160.0,low,yes
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3.0,2.0,900.0,dhaka,savar,0.29,3222.22,high,yes
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2.0,2.0,1050.0,dhaka,savar,0.34,3238.1,medium,yes
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3.0,3.0,1250.0,dhaka,bashundhara,1.15,9200.0,low,yes
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3.0,3.0,1675.0,dhaka,mirpur,0.97,5791.04,high,yes
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3.0,3.0,1300.0,dhaka,mirpur,0.75,5769.23,low,yes
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3.0,4.0,2787.0,dhaka,dhanmondi,2.9,10405.45,low,yes
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4.0,4.0,5040.0,dhaka,bashundhara,5.4,10714.29,high,yes
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3.0,2.0,986.0,dhaka,uttara,0.62,6288.03,medium,yes
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2.0,2.0,920.0,dhaka,dakshin khan,0.33,3586.96,medium,yes
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3.0,3.0,1275.0,dhaka,agargaon,0.85,6666.67,low,yes
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3.0,3.0,2290.0,dhaka,bashundhara,2.25,9825.33,low,yes
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3.0,3.0,1400.0,dhaka,mirpur,0.78,5571.43,low,yes
A Reasonable Apartment Is Available For Sale At Mirpur-10,3.0,2.0,1075.0,dhaka,mirpur,0.55,5116.28,medium,yes
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3.0,3.0,1300.0,dhaka,uttara,0.96,7384.62,low,yes
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3.0,3.0,1135.0,dhaka,dakshin khan,0.75,6607.93,low,yes
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3.0,3.0,1425.0,dhaka,rampura,0.9,6315.79,low,yes
2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3.0,4.0,2380.0,dhaka,bashundhara,2.15,9033.61,medium,yes
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4.0,4.0,2000.0,dhaka,adabor,1.48,7400.0,medium,yes
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3.0,3.0,1600.0,dhaka,uttara,1.4,8750.0,low,yes
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4.0,4.0,2200.0,dhaka,mirpur,2.5,11363.64,low,yes
3474 Square Feet Spacious Apartment For Sale In Uttara-3,4.0,4.0,3474.0,dhaka,uttara,4.5,12953.37,medium,yes
"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3.0,4.0,1550.0,dhaka,aftab nagar,1.5,9677.42,high,yes
850 Sq Ft Flat For Sale In South Badda,2.0,2.0,850.0,dhaka,badda,0.5,5882.35,low,yes
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1380.0,dhaka,aftab nagar,0.95,6884.06,low,yes
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3.0,3.0,1350.0,dhaka,banasree,1.13,8370.37,medium,yes
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3.0,3.0,1470.0,dhaka,adabor,0.7,4761.9,low,yes
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3.0,2.0,1090.0,dhaka,mirpur,0.55,5045.87,low,yes
"1220 Sq Ft Flat For Sale In Banasree, Block G",3.0,2.0,1220.0,dhaka,banasree,0.8,6557.38,medium,yes
"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3.0,3.0,1550.0,dhaka,badda,1.45,9354.84,low,yes
Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3.0,4.0,1654.0,dhaka,uttara,1.25,7557.44,medium,yes
Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3.0,2.0,975.0,dhaka,mirpur,0.4,4102.56,low,yes
