Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr,is_commercial,is_residential,Price_per_sqft,floor_level
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,2.0,vacant,1175.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,0.83,0.0,1.0,7063.83,low
Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,1.0,vacant,650.0,dhaka,"Section 6, Mirpur",mirpur,0.31,0.0,1.0,4769.23,low
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1.0,vacant,1331.0,dhaka,"Sector 4, Uttara",uttara,1.6,0.0,1.0,12021.04,low
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,4.0,vacant,900.0,dhaka,"Nobodoy Housing Society, Mohammadpur",mohammadpur,0.45,0.0,1.0,5000.0,medium
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3.0,2.0,2.0,vacant,950.0,dhaka,"Gulbag, Malibagh",malibagh,0.6,0.0,1.0,6315.79,low
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2.0,2.0,6.0,vacant,1230.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.5,0.0,1.0,4065.04,medium
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3.0,2.0,7.0,vacant,1150.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.65,0.0,1.0,5652.17,medium
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3.0,2.0,7.0,vacant,1150.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.65,0.0,1.0,5652.17,medium
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3.0,3.0,7.0,vacant,1150.0,dhaka,"Manikdi, Cantonment",cantonment,0.67,0.0,1.0,5826.09,medium
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3.0,3.0,2.0,vacant,1250.0,dhaka,"East Kazipara, Mirpur",mirpur,0.76,0.0,1.0,6080.0,low
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2.0,2.0,2.0,vacant,860.0,dhaka,"Rupnagar R/A, Mirpur",mirpur,0.49,0.0,1.0,5697.67,low
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3.0,2.0,1.0,vacant,1050.0,dhaka,"West Kazipara, Mirpur",mirpur,0.62,0.0,1.0,5904.76,low
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4.0,4.0,10.0,vacant,3355.0,dhaka,"Sector 4, Uttara",uttara,3.9,0.0,1.0,11624.44,high
Buy This 1375 Sq Ft Apartment In Mirpur-6,3.0,3.0,5.0,vacant,1375.0,dhaka,"Section 6, Mirpur",mirpur,1.21,0.0,1.0,8800.0,medium
Worthy 900 SQ FT residence is for sale at North Pirerbag,3.0,2.0,2.0,vacant,900.0,dhaka,"Pirerbag, Mirpur",mirpur,0.5,0.0,1.0,5555.56,low
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3.0,3.0,5.0,vacant,1008.0,dhaka,"Section 10, Mirpur",mirpur,0.48,0.0,1.0,4761.9,medium
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3.0,2.0,3.0,vacant,1055.0,dhaka,"Moushair, Dakshin Khan",dakshin khan,0.53,0.0,1.0,5023.7,low
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3.0,3.0,5.0,vacant,1800.0,dhaka,"Block F, Bashundhara R-A",bashundhara,1.6,0.0,1.0,8888.89,medium
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3.0,3.0,2.0,vacant,1250.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.52,0.0,1.0,4160.0,low
